"","subj_idx","stimulus","stim","rt","response","condition"
"13051",122,"phone","wp",0.547,1,"white"
"13052",122,"phone","bp",0.61,1,"black"
"13053",122,"phone","bp",0.621,1,"black"
"13054",122,"phone","bp",0.492,1,"black"
"13055",122,"gun","bg",0.497,0,"black"
"13056",122,"gun","wg",0.454,0,"white"
"13057",122,"phone","wp",0.542,1,"white"
"13058",122,"phone","wp",0.574,1,"white"
"13059",122,"phone","wp",0.302,0,"white"
"13060",122,"gun","wg",0.444,0,"white"
"13061",122,"gun","wg",0.579,0,"white"
"13062",122,"phone","wp",0.485,1,"white"
"13063",122,"gun","bg",0.474,0,"black"
"13064",122,"phone","wp",0.543,1,"white"
"13065",122,"phone","bp",0.578,1,"black"
"13066",122,"gun","wg",0.679,0,"white"
"13067",122,"phone","bp",0.47,1,"black"
"13068",122,"phone","wp",0.588,0,"white"
"13069",122,"phone","bp",0.656,1,"black"
"13070",122,"phone","wp",0.593,1,"white"
"13071",122,"gun","bg",0.501,0,"black"
"13072",122,"phone","bp",0.616,1,"black"
"13073",122,"phone","wp",0.618,1,"white"
"13074",122,"gun","wg",0.493,0,"white"
"13075",122,"gun","wg",0.69,0,"white"
"13076",122,"gun","bg",0.431,0,"black"
"13077",122,"gun","wg",0.473,0,"white"
"13078",122,"gun","bg",0.498,0,"black"
"13079",122,"gun","wg",0.506,0,"white"
"13080",122,"phone","bp",0.495,1,"black"
"13081",122,"gun","wg",0.484,0,"white"
